Borough,Year,Quarter,Count
Redbridge,2023,1.0,8117.333333333333
Redbridge,2023,2.0,7943.0
Redbridge,2023,3.0,8040.0
Richmond upon Thames,2021,1.0,1857.3333333333333
Richmond upon Thames,2021,2.0,2080.0
Richmond upon Thames,2021,3.0,2083.0
Richmond upon Thames,2021,4.0,1409.0
Richmond upon Thames,2022,1.0,3319.6666666666665
Richmond upon Thames,2022,2.0,1494.0
Richmond upon Thames,2022,3.0,2477.0
Richmond upon Thames,2022,4.0,5988.0
Richmond upon Thames,2023,1.0,3419.6666666666665
Richmond upon Thames,2023,2.0,3134.0
Richmond upon Thames,2023,3.0,3310.0
Southwark,2021,1.0,5665.333333333333
Southwark,2021,2.0,5812.0
Southwark,2021,3.0,5450.0
Southwark,2021,4.0,5734.0
Southwark,2022,1.0,7633.666666666667
Southwark,2022,2.0,5087.0
Southwark,2022,3.0,9584.0
Southwark,2022,4.0,8230.0
Southwark,2023,1.0,10597.666666666666
Southwark,2023,2.0,8496.0
Southwark,2023,3.0,10617.0
Sutton,2021,1.0,1927.6666666666667
Sutton,2021,2.0,2018.0
Sutton,2021,3.0,2084.0
Sutton,2021,4.0,1681.0
Sutton,2022,1.0,2828.0
Sutton,2022,2.0,1981.0
Sutton,2022,3.0,3503.0
Sutton,2022,4.0,3000.0
Sutton,2023,1.0,3377.0
Sutton,2023,2.0,2951.0
Sutton,2023,3.0,3407.0
Tower Hamlets,2021,1.0,5152.666666666667
Tower Hamlets,2021,2.0,5482.0
Tower Hamlets,2021,3.0,5215.0
Tower Hamlets,2021,4.0,4761.0
Tower Hamlets,2022,1.0,6248.666666666667
Tower Hamlets,2022,2.0,4838.0
Tower Hamlets,2022,3.0,7735.0
Tower Hamlets,2022,4.0,6173.0
Tower Hamlets,2023,1.0,10765.0
Tower Hamlets,2023,2.0,9849.0
Tower Hamlets,2023,3.0,9594.0
Waltham Forest,2021,1.0,3414.6666666666665
Waltham Forest,2021,2.0,3302.0
Waltham Forest,2021,3.0,4046.0
Waltham Forest,2021,4.0,2896.0
Waltham Forest,2022,1.0,4729.333333333333
Waltham Forest,2022,2.0,3669.0
Waltham Forest,2022,3.0,5513.0
Waltham Forest,2022,4.0,5006.0
Waltham Forest,2023,1.0,7057.666666666667
Waltham Forest,2023,2.0,6930.0
Waltham Forest,2023,3.0,6396.0
Wandsworth,2021,1.0,4017.0
Wandsworth,2021,2.0,3943.0
Wandsworth,2021,3.0,4842.0
Wandsworth,2021,4.0,3266.0
Wandsworth,2022,1.0,4702.0
Wandsworth,2022,2.0,3723.0
Wandsworth,2022,3.0,5154.0
Wandsworth,2022,4.0,5229.0
Wandsworth,2023,1.0,8071.0
Wandsworth,2023,2.0,7096.0
Wandsworth,2023,3.0,7683.0
Westminster,2021,1.0,9863.666666666666
Westminster,2021,2.0,8213.0
Westminster,2021,3.0,10421.0
Westminster,2021,4.0,10957.0
Westminster,2022,1.0,18881.0
Westminster,2022,2.0,13732.0
Westminster,2022,3.0,17237.0
Westminster,2022,4.0,25674.0
Westminster,2023,1.0,24709.0
Westminster,2023,2.0,19769.0
Westminster,2023,3.0,23389.0
