Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2022-10-14 13:50:00,False,,51.533155,-0.052211,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Tower Hamlets,Autumn term
Person and Vehicle search,2022-10-14 14:12:00,False,,51.397786,-0.076584,Male,10-17,Other ethnic group - Any other ethnic group,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Croydon,Autumn term
Person search,2022-10-14 14:30:00,False,,51.636802,-0.081647,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 14:35:00,False,,51.587733,-0.13821,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-10-14 14:35:00,False,,51.542042,0.148526,Female,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-10-14 14:45:00,False,,51.556203,0.004876,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Waltham Forest,Autumn term
Person search,2022-10-14 14:49:00,False,,51.463036,-0.082019,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 14:51:00,False,,51.587733,-0.13821,Male,10-17,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-10-14 14:53:00,False,,51.542042,0.148526,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-10-14 14:55:00,False,,51.562486,0.229322,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 14:58:00,False,,51.562486,0.229322,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 15:00:00,False,,51.562486,0.229322,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 15:05:00,False,,51.651681,-0.085876,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 15:09:00,False,,51.487958,-0.190285,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Kensington and Chelsea,Autumn term
Person search,2022-10-14 15:10:00,False,,51.651958,-0.079819,Male,10-17,Other ethnic group - Any other ethnic group,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 15:11:00,False,,51.552131,-0.101684,Male,10-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Islington,Autumn term
Person search,2022-10-14 15:15:00,False,,51.482312,-0.18747,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Kensington and Chelsea,Autumn term
Person search,2022-10-14 15:18:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-14 15:25:00,False,,51.584953,-0.278296,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 15:25:00,False,,51.584953,-0.278296,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 15:30:00,False,,51.613711,-0.138936,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 15:37:00,False,,51.525368,-0.168952,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Summons / charged by post,,,Unknown,Autumn term
Person search,2022-10-14 15:40:00,False,,51.575187,0.182581,Female,10-17,Asian/Asian British - Any other Asian background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 15:43:00,False,,51.655162,-0.03098,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 15:45:00,False,,51.655162,-0.03098,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 15:55:00,False,,51.655162,-0.03098,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 16:04:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Brent,Autumn term
Person and Vehicle search,2022-10-14 16:05:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 16:09:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 16:10:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 16:14:00,False,,51.494337,-0.096619,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 16:20:00,False,,51.607945,-0.000298,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-14 16:43:00,False,,51.542042,0.148526,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-10-14 16:50:00,False,,51.433333,0.00926,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Lewisham,Autumn term
Person search,2022-10-14 16:50:00,False,,51.575187,0.182581,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 16:55:00,False,,51.538044,0.080981,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-10-14 16:58:00,False,,51.544645,-0.481834,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-14 17:02:00,False,,51.668972,-0.016397,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Enfield,Autumn term
Person search,2022-10-14 17:05:00,False,,51.404646,0.013955,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Bromley,Autumn term
Person search,2022-10-14 17:05:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-14 17:06:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-14 17:07:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-14 17:15:00,False,,51.319979,-0.156434,Male,10-17,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-14 17:30:00,False,,51.544645,-0.481834,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-14 17:35:00,False,,51.558053,0.239651,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 18:00:00,False,,51.481797,-0.430449,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-14 18:25:00,False,,51.481797,-0.430449,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-14 18:42:00,False,,51.575187,0.182581,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Havering,Autumn term
Person search,2022-10-14 18:53:00,False,,51.581028,-0.028312,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-14 18:53:00,False,,51.581028,-0.028312,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-14 19:00:00,False,,51.581028,-0.028312,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-14 19:00:00,False,,51.543278,-0.094222,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Islington,Autumn term
Person search,2022-10-14 19:00:00,False,,51.459123,-0.090776,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 19:00:00,False,,51.500472,-0.074842,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 19:05:00,False,,51.459123,-0.090776,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 19:10:00,False,,51.500472,-0.074842,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 19:12:00,False,,51.461501,-0.303905,Female,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Richmond upon Thames,Autumn term
Person search,2022-10-14 19:14:00,False,,51.534474,0.004022,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Newham,Autumn term
Person search,2022-10-14 19:15:00,False,,51.500472,-0.074842,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 19:18:00,False,,51.534474,0.004022,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-10-14 19:39:00,False,,51.481797,-0.430449,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-14 19:40:00,False,,51.366318,-0.198619,Female,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Sutton,Autumn term
Person search,2022-10-14 19:58:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 20:00:00,False,,51.493531,-0.048268,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Southwark,Autumn term
Person search,2022-10-14 20:04:00,False,,51.551433,-0.297678,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-14 20:09:00,False,,51.657415,-0.030738,Male,10-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Enfield,Autumn term
Person search,2022-10-14 20:10:00,False,,51.445682,-0.337057,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Summons / charged by post,,,Richmond upon Thames,Autumn term
Person search,2022-10-14 20:10:00,False,,51.657415,-0.030738,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Enfield,Autumn term
Person search,2022-10-14 20:18:00,False,,51.493954,0.051801,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Greenwich,Autumn term
Person search,2022-10-14 20:18:00,False,,51.493954,0.051801,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Greenwich,Autumn term
Person search,2022-10-14 20:19:00,False,,51.493954,0.051801,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Greenwich,Autumn term
Person search,2022-10-14 20:19:00,False,,51.493954,0.051801,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Greenwich,Autumn term
Person search,2022-10-14 20:20:00,False,,51.447807,-0.409179,Male,10-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hounslow,Autumn term
Person search,2022-10-14 20:21:00,False,,51.447807,-0.409179,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hounslow,Autumn term
Person search,2022-10-14 20:21:00,False,,51.498611,-0.104716,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Summons / charged by post,,,Southwark,Autumn term
Person search,2022-10-14 20:25:00,False,,51.493954,0.051801,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Greenwich,Autumn term
Person search,2022-10-14 20:30:00,False,,51.64577,-0.037718,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,,,Enfield,Autumn term
Person search,2022-10-14 20:30:00,False,,51.512562,-0.231623,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hammersmith and Fulham,Autumn term
Person search,2022-10-14 20:35:00,False,,51.447807,-0.409179,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hounslow,Autumn term
Person search,2022-10-14 21:52:00,False,,51.522019,-0.223084,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Kensington and Chelsea,Autumn term
Person search,2022-10-14 22:00:00,False,,51.479774,-0.071739,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-14 22:00:00,False,,51.479774,-0.071739,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Southwark,Autumn term
Person and Vehicle search,2022-10-14 22:40:00,False,,51.524084,-0.032459,Female,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Tower Hamlets,Autumn term
Person search,2022-10-14 23:10:00,False,,51.514246,-0.131436,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Islington,Autumn term
Person search,2022-10-14 23:24:00,False,,51.374294,-0.104524,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Croydon,Autumn term
Person search,2022-10-15 00:23:00,False,,51.372165,-0.108017,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Croydon,Autumn term
Person search,2022-10-15 00:40:00,False,,51.371622,-0.105022,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person search,2022-10-15 01:30:00,False,,51.548485,-0.069456,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Hackney,Autumn term
Person search,2022-10-15 01:50:00,False,,51.537759,-0.191512,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Camden,Autumn term
Person search,2022-10-15 02:07:00,False,,51.371622,-0.105022,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person and Vehicle search,2022-10-15 02:10:00,False,,51.50845,-0.143266,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Unknown,Autumn term
Person search,2022-10-15 02:17:00,False,,51.374294,-0.104524,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person and Vehicle search,2022-10-15 02:20:00,False,,51.50845,-0.143266,Male,10-17,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 04:30:00,False,,51.563825,-0.281013,Female,10-17,Other ethnic group - Any other ethnic group,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Brent,Autumn term
Person search,2022-10-15 07:23:00,False,,51.461009,-0.070285,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Firearms Act 1968 (section 47),Firearms,Community resolution,,,Southwark,Autumn term
Person search,2022-10-15 09:21:00,False,,51.545504,-0.007883,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-10-15 09:22:00,False,,51.542107,-9.9e-05,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Newham,Autumn term
Person search,2022-10-15 12:55:00,False,,51.408383,-0.286,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Kingston upon Thames,Autumn term
Person search,2022-10-15 14:20:00,False,,51.502823,-0.119257,Male,10-17,Black/African/Caribbean/Black British - African,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,,,Lambeth,Autumn term
Person search,2022-10-15 14:30:00,False,,51.502823,-0.119257,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-10-15 15:00:00,False,,51.631075,0.000185,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-15 15:00:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 15:13:00,False,,51.390509,-0.09408,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Croydon,Autumn term
Person search,2022-10-15 16:30:00,False,,51.672703,-0.050222,Male,10-17,Other ethnic group - Not stated,Black,Firearms Act 1968 (section 47),Firearms,Arrest,,,Enfield,Autumn term
Person search,2022-10-15 16:30:00,False,,51.672703,-0.050222,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Firearms Act 1968 (section 47),Firearms,Arrest,,,Enfield,Autumn term
Person search,2022-10-15 17:15:00,False,,51.411591,-0.301913,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Kingston upon Thames,Autumn term
Person search,2022-10-15 17:15:00,False,,51.46326,-0.14112,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Lambeth,Autumn term
Person search,2022-10-15 17:15:00,False,,51.46326,-0.14112,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Lambeth,Autumn term
Person search,2022-10-15 17:25:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 17:30:00,False,,51.500472,-0.074842,Male,10-17,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-15 17:32:00,False,,51.630546,0.002199,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Waltham Forest,Autumn term
Person search,2022-10-15 17:35:00,False,,51.500472,-0.074842,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-10-15 17:50:00,False,,51.511893,-0.14407,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 17:55:00,False,,51.514365,-0.143408,Male,10-17,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 17:58:00,False,,51.514365,-0.143408,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 17:58:00,False,,51.514365,-0.143408,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-10-15 17:58:00,False,,51.51547,-0.134874,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Autumn term
Person search,2022-10-15 18:00:00,False,,51.337875,-0.116349,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Croydon,Autumn term
Person search,2022-10-15 18:20:00,False,,51.544189,-0.486911,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hillingdon,Autumn term
Person search,2022-10-15 18:41:00,False,,51.530239,0.037905,Male,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-10-15 18:45:00,False,,51.452546,-0.229165,Male,10-17,Other ethnic group - Any other ethnic group,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Wandsworth,Autumn term
Person search,2022-10-15 18:45:00,False,,51.452546,-0.229165,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Wandsworth,Autumn term
Person search,2022-10-15 19:39:00,False,,51.589342,0.059345,Male,10-17,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Redbridge,Autumn term
Person search,2022-10-15 19:45:00,False,,51.483106,0.145913,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Bexley,Autumn term
Person search,2022-10-15 19:50:00,False,,51.516597,-0.147526,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Westminster,Autumn term
Person search,2022-10-15 19:50:00,False,,51.531603,-0.093513,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Fireworks,A no further action disposal,,,Hackney,Autumn term
