Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2023-05-22 14:30:00,False,,51.373464,-0.0994,Male,10-17,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Croydon,Summer term
Person search,2023-05-22 14:30:00,False,,51.373464,-0.0994,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Croydon,Summer term
Person search,2023-05-22 14:45:00,False,,51.503892,-0.419835,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Hillingdon,Summer term
Person search,2023-05-22 15:00:00,False,,51.450768,0.058126,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Greenwich,Summer term
Person search,2023-05-22 15:03:00,False,,51.506222,-0.431282,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hillingdon,Summer term
Person search,2023-05-22 15:03:00,False,,51.506222,-0.431282,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hillingdon,Summer term
Person search,2023-05-22 15:08:00,False,,51.519775,-0.330468,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,Ealing,Summer term
Person search,2023-05-22 15:19:00,False,,51.523176,-0.18876,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 15:24:00,False,,51.597857,-0.241336,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Barnet,Summer term
Person search,2023-05-22 15:40:00,False,,51.536965,0.104652,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Barking and Dagenham,Summer term
Person search,2023-05-22 15:41:00,False,,51.520723,-0.187127,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 15:55:00,False,,51.605017,-0.095147,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-22 16:11:00,False,,51.469688,-0.131975,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lambeth,Summer term
